pathway	SRR8488421	SRR8488422	SRR8488423	SRR8488424	SRR8488426	SRR8488427	SRR8488428	SRR8488429	SRR8488430	SRR8488431	SRR8488432	SRR8488433	SRR8488434	SRR8488435	SRR8488436	SRR8488437	SRR8488438	SRR8488439	SRR8488440	SRR8488441	SRR8488442	SRR8488443	SRR8488444	SRR8488445	SRR8488446	SRR8488447	SRR8488448	SRR8488449	SRR8488450	SRR8488451	SRR8488452	SRR8488453	SRR8488454	SRR8488455	SRR8488456	SRR8488457	SRR8488458	SRR8488459	SRR8488460	SRR8488461	SRR8488462	SRR8488463	SRR8488464	SRR8488465	SRR8488466	SRR8488467	SRR8488468	SRR8488469	SRR8488470	SRR8488471	SRR8488472
ARGDEG-PWY	0.0	0.0	24.474859044829394	0.0	49.81690276747722	109.03057701389828	0.0	0.0	0.0	80.60765412144296	98.52645225088145	377.7724895431094	0.0	0.0	49.31395682754548	60.14167440423554	0.0	519.0451541318151	0.0	0.0	0.0	346.4825169976955	80.61780971079918	0.0	0.0	0.0	0.0	0.0	0.0	102.17474271195404	0.0	21.648770189841468	0.0	0.0	64.38982401234719	70.82430181322943	67.08443876262108	0.0	0.0	55.86167044515979	63.58200675453562	0.0	9.989033977453543	0.0	0.0	0.0	8.969047476856684	6.861100763551339	0.0	0.0	0.0
ARGININE-SYN4-PWY	10408.588107511234	9408.559630645463	12771.834342805483	11242.087342527513	12098.603324867487	9700.456053256328	10359.502973561326	12945.475993308948	14172.080164225172	7957.508532611323	11337.20802372244	6948.559338462032	12804.661934447633	12297.033074240873	11766.70274741606	8202.252128326498	12746.656122606515	15636.459856487716	13817.206740693078	12027.326040160848	13398.598099057828	7998.45540924547	12796.209455335002	13385.502729925825	8469.944513440698	10888.986947896252	12541.617333406291	13188.199863520465	8892.013158748123	21392.02891284308	12409.603783977895	18884.450833150637	9985.13171081134	6974.318235997198	11689.47493783808	15387.473177527558	11501.166357083246	11506.81853323001	7605.789941453873	14085.40756482775	13874.203242421983	12781.780542612125	12288.132602871672	9400.637567648599	11994.798556379179	10573.726451624258	14211.33203826654	8992.331331999249	11761.996569137178	10266.57977108733	18496.014402468092
ARGSYN-PWY	11034.054728031344	9391.89492054878	13437.9822359382	12109.34721634371	11357.780773601195	10190.758124267912	9921.833845974968	11148.282004234901	14752.64558444659	8884.106297026578	12645.611671741357	7853.581489270625	12851.34697056993	13048.392188416157	11255.42531356836	9485.494944973332	13938.262688042005	17334.811291012007	13888.27237723583	11489.087294699606	13683.26040924333	8553.18336704248	13155.971009483977	12176.526974721988	9276.183564589395	13905.151690385392	13433.634819225117	15086.653225284694	9561.671521296723	22692.337974462556	13525.928104222585	18488.7906531481	11400.770265385083	7651.596428875653	13014.290787692831	15227.774471895753	10942.53982836425	12186.130984621683	10410.91344297927	14497.904494150474	14835.108457696326	13231.000153717066	11947.698833741242	9544.027794858908	13072.80726754694	10849.268698480812	14265.071838626827	9881.925307361078	11854.724125156183	11185.786484534989	9970.658384697534
ARGSYNBSUB-PWY	11751.285736521128	9775.833768000439	14205.977931816431	12729.313627002062	11877.753048176339	10617.439577661657	10304.355735406998	11526.22255584603	15741.407060681062	9459.327733559974	13135.320516297692	8445.592914012917	13087.152791699998	13537.41530909231	11644.978488366572	9962.965904553303	14666.007018573875	18376.038993580263	14401.546575926957	11890.1424603943	14342.069869678355	8907.106310182475	13940.826780184474	12388.660513397372	9794.857673838667	14494.188821805801	14234.179688593225	15501.368945013506	10423.181045082974	24263.489400502578	14116.920589977186	19119.56789885735	11525.23084271338	8149.359838850195	13460.538209773413	15806.156638733473	10361.434380853918	12550.39917763498	11248.889574300758	15350.014552583718	15784.798481828751	13708.351248332858	12252.445673557284	9344.237041888111	13710.43800269667	11254.141060286189	14637.584715105992	10126.089845810015	11901.884615118095	11692.928340091452	10463.895131851239
ARO-PWY	12579.39696735609	11248.437998976618	15798.234586195389	14652.825302056957	14203.218950965163	11942.60959299966	11973.576834003272	11363.18758178719	16789.66321155781	10053.540710460613	13777.518308740435	9258.648932227965	15315.624487790723	14663.715359374173	13652.061015785455	10706.917458128493	15803.312172490965	18945.892553230493	16725.623195441898	12007.426695557138	15764.6020175412	8981.399207599263	15351.617555087163	12326.309743309106	10214.388730845441	13691.414346938234	15368.949961587967	17224.36889827886	11176.45528346953	27073.14679201928	16123.343491743755	20640.1153933631	13027.959379648564	9070.134921729943	14271.78832399481	17194.732702416477	12539.95301768944	13442.504971558017	12889.08783951828	16503.221573248546	16832.356894587458	14377.259442526267	13867.414576869422	11193.66408628613	14908.86268994327	12858.368022286173	14117.169938159657	10967.251681442813	13563.214774704311	13035.589693289121	8650.786351102039
ASPASN-PWY	4717.911106121936	3343.4641023010604	5082.101604153546	4013.193426673284	2877.2621348800058	4477.400796634699	2829.0472885321096	3890.2184447563036	5005.287840263078	4308.998650082768	4724.04398474828	4107.4192787858	4049.4982534079413	4732.776561795709	4076.3932333788794	5544.770284170938	6422.1488340459655	4051.973651210558	3588.7380985289415	3606.226236829817	4334.715619770304	3538.072191045635	4462.547394758692	2817.56191064608	3334.69878160899	2876.3680099612047	4316.649712522626	5722.881499214917	6782.5368950948505	5506.6226175500615	4591.991126591663	6604.736718314552	7061.696408205727	2277.9761460898876	4371.61980824672	3340.9407682670826	1714.756739021665	3907.987804523481	7032.239359537303	4184.303672891595	6264.456430258502	2398.298603189894	2648.406713664469	4371.583486944086	3926.879738268488	3738.2046938831386	1325.4398221925485	3993.955621374189	3041.8728564811613	4412.443713245674	1773.7859294898199
AST-PWY	35.55555555555556	6.511111111111111	39.657148695846026	28.044444444444437	54.744771241830065	109.1805703642275	15.399999999999995	55.42338006423008	34.44444444444445	61.588888888888896	78.92620993182832	488.8646223835472	43.15769360838687	197.4699070205866	34.07777777777778	49.03333333333334	37.544444444444444	578.8111111111112	11.028269143633892	31.29364076267514	49.84584971070043	416.03333333333336	79.08184630026172	11.855555555555556	30.366666666666664	233.4540511922458	3.7016246583662316	530.7109754529591	4.811111111111111	77.68100609995007	50.800000000000004	82.07877623411174	216.8069988328834	11.832570162481538	66.42965397416845	61.52842540034149	50.0	4.877777777777778	1319.6231503603071	52.31111111111112	91.2795595318982	14.077777777777781	8.944444444444445	7.6426215169311496	45.29114385088455	3.9826247689463954	11.111111111111112	7.215597797122047	21.41003460207612	2.544444444444444	347.89751973335
BRANCHED-CHAIN-AA-SYN-PWY	12111.569102944728	9858.854779324007	15162.45874627634	13540.077594915072	12199.228726924448	12067.035667745464	10300.642237447848	10376.546320073241	15783.54370380922	9884.26445002044	13759.78962901733	9691.367574426025	14308.694017701366	14903.631748879852	12272.673122346981	11162.277519140376	15501.639035070204	18903.82374223248	14872.973906716088	10840.490319733539	14874.710414305155	8395.11189777173	15332.066614158719	11218.83167648934	10342.197162700566	14590.633546400155	14969.983142771194	17580.232778422855	11724.460523332296	25557.17942696559	14781.525679926473	19679.975489764875	13499.910103441058	8375.070967250915	14726.953957618085	17037.764000800053	7790.160614927425	13297.869128475799	13631.464011396498	16306.299864835422	16788.660561113087	13861.08672324208	12502.198818644092	10152.349099579591	15185.0693315501	11833.330825264355	14482.237818694017	11108.6876279645	11667.12269589234	11969.79917884377	6826.078726374651
CALVIN-PWY	16986.284458934417	14248.848190496474	21272.514864310924	19435.909914102827	17962.62762929964	16443.03115255564	15579.771953106188	20533.311269901347	21853.46578197559	14457.717128026112	20451.13045456268	14596.228631505195	18380.86511956461	19709.579898018037	18738.934981701972	16469.37980932315	22089.80158481246	26564.32214830544	21501.50728927933	20294.649750856002	19506.36687929523	14658.24853251834	23121.52283005944	20590.22332316466	14774.747161578547	20936.490001909195	20020.772592562014	22887.639560453637	19594.35124571672	36182.390477757115	25078.6814703785	30971.133836041943	17955.545321694088	12264.618088323454	20662.96459861039	20979.239032235208	12065.873018752056	17434.9617939134	17442.688336354222	22502.776074442256	24932.077902824454	17737.98932726783	17609.799315152028	14436.317236849241	17859.3809812593	17092.147713032304	15549.38063590794	15188.486846118256	16906.193816507897	16569.022171445966	30003.56174812369
CARNMET-PWY	13.484098939929329	107.19467389096825	59.73926190106992	118.01276244623755	31.725341426403638	29.235661205383263	20.205961418339932	16.770538243626063	0.0	0.0	0.0	196.73	30.337078651685392	12.600389863547758	19.782608695652176	0.0	13.640040719666148	17.38601823708207	6.271942737592312	39.44542012406348	67.75535484483548	0.0	29.647295970779588	8.255408234473133	2.5	0.0	4.368226816242046	16.456589333763194	0.0	149.50126953614728	63.3709967443849	24.740213523131672	25.955778685955842	49.48229421976816	14.29	15.5	18.961538461538463	11.446854410201912	129.18862892612995	16.91275167785235	15.157894736842104	135.91981132075472	27.715481171548117	11.343283582089553	90.64013764139953	31.438102120068592	24.505133470225875	23.784756990679092	67.2872340425532	4.4545972590429885	264.0057946838166
