Feature ID	Taxon	Confidence
cbe2abdf95ba4f41c1453328d1e0230c	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9995022738844969
c287da853235f9a98089163fdca87226	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9999132472608196
875f9ef9a121a3002ea097444690a20a	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae	0.9999233461987284
6aecdefb54ce134bd38af02b1c7e7187	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium	0.9997616761260341
c6fdf631c16099e62a83c66db8a7a6f1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum	0.996458237957792
734dcd020504800d8042434e28b57298	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium	0.9997927402146745
b8f980ec6ad0c86efb83bd1f64c3a252	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.999972120436318
9eaff8c3aca7b74962decea682803d9c	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae	0.9989966456998225
bb35a35e317aeaf3cdd5bef973af2498	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9998813416040332
9243bc95f3bb4eba8fabc522fa335a7f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999040653116036
8255b7ef9cac433fca7b7dbf2b61402e	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__bacterium_NLAE-zl-H13	0.7590072194123045
be1fe9bfe424ad27f568d8e2d7b42c19	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9961026725591038
